id,user_id,wallet_address,transaction_hash,amount_sol,amount_usd,purchase_date,status
13978b27-b4bf-4730-94b1-07390f8334ac,294297461718122496,HokwS8G788CrKem14LtAz5EbBPeSUeqbzXoxow4sfpsr,4A8jJCqv4jj5dp2hy5yQYABt8epmKrhEmFBzph96pyngVrhBRQxJDD4QcE637zMbSFR2FDQGXkvMcaA4Vj4v4juh,0.02,4,2025-07-22 21:22:55.363073+00,completed
14d6840a-8127-4f21-b577-53f7d242a022,1384644097389760525,H6HgerCuPjEriWh1VMRdFsMUJjJ38fkRPgHhmG1hVjWX,4RrsytLY4nJMFzKyAZZvwue4PKk61TTsKAizc8egisUpyG2hoZmymEh2AuFW5KTQiF8ARupBAiSpXRsiB1p8iQev,0.02,4.01,2025-07-22 12:50:21.663506+00,completed
1557f6ea-4602-4842-b015-07ce0633c4be,347094653717446678,Em6a5aKo3iZTC98cM9Y29AJBc9rtuwV6ZDdRLi34mDZ4,PCDZGGgDwVa7AZAxeErNEq7Wm6UxW7Pn4FQrDQvXYkZq8vVd62JLk82NoR3nQX9GDbLYjHjV7DBcC9FiZYG5r46,0.02,4.01,2025-07-23 07:24:54.234482+00,completed
160c840a-c0f9-4f79-9091-d3d56b67b62b,1202541451460747315,2Zaf6STC79CgRXqFADWVgZjkXZp9UjHczTL3LmjZSogP,5iGwhxtdZWapskyJXZtFEx9gDVcUB1AW8wmBeEZtrQ1zWbjBccMjVsfYvj12sHkEaFNgLznMDALaQbpKUbBYgvwD,0.02,4.09,2025-07-27 00:47:39.159434+00,completed
164fb6a6-3664-4170-afd1-2d29be2b5e1c,723285427838124155,4ppM2bFi6jijDBBwdSh5K3WG2sbfvHEYrfVB4ZWHMdFK,4AcD5wqjusmvAGEsv1SLXGG5Y7po9n7VpV16DPHjNQ47RMPxBnMxdxDnDa4EidNm5Y23mJtefXSrieNNstySxbne,0.02,3.5,2025-08-03 08:47:08.549628+00,completed
1656fdf4-8b75-46f9-9766-2f836316e54b,1346871743855464498,72bdF5XhgPY4UGfCYJG4QyyMYqMPyuMPYMPGNV3MHirq,4x83HssRmva8rN7gvfeHYZRADAJWgVWkcdANEMB54PMgDMnJm6RrPtePWf7fkqh3Yq5x5gHoqDHWMN6Tj4i5fPLD,0.02,3.79,2025-07-23 19:21:28.231735+00,completed
1694c44e-adfe-436d-a161-a74ccf526515,949221050158288916,8wxeBkma1zZN88pw2eFoEGpkqqS1KmAnpPLxYmmKEYzx,KBgQqqmNZQafgTLv681qqkbCHVWQh4JogNgqRWCmTUqfXGCSUxPrMwVKvbwqx7iH7JRaxQzQ3vFjcMzmQ75tpHU,0.02,4.01,2025-07-22 12:40:54.773713+00,completed
16a8a083-72f3-4697-a9dd-2d255fe01b9d,1132621530958930001,6QQVYu3V3vfPcfx36athppsDQxe5AHAJ4aENQukkBgGp,46vxzyoNYjCN9xvjj9hsXG9U1Y8dmtakRhKuL3Kz6t3AHeNJuwxab9RYdKdW1ibBJcCtwNpkyNbwuyFaFXEearJu,0.02,4,2025-07-22 14:49:28.363014+00,completed
1731ebfa-2333-47d3-a38a-f192fa5e77f4,1019720804285562880,EarXUWvRX2MJtYuf7uKbszo5KjHQvyAutRQHzyHpDdtN,47KSdXu2hnFJWRHsJkL6fy2frdV2rWSKzA4gLs9znmLYqAaRsBQvh6s1qEPcktc1YeJzds7yNjtVLuz62tmTfgvy,0.02,3.49,2025-07-31 21:22:00.580399+00,completed
1781dad8-8271-4eb3-972a-abbc057bd777,698230793775874140,4awC34zK76UrGyjcrRE9W93imMaWoKT1Du3ttRY5738x,3ehXS1AkmvEeqgCyi9fBeYWUjvWw7iny7M5gn6gzF6RW3MSXKH8hkuou1WRyW9fTjy81e282RdEQEyW5TasWGDfS,0.02,3.27,2025-08-05 20:41:11.174173+00,completed
19ed605c-25bd-4832-b978-84b8180d93c9,441369921360756736,8mN9Cb12f6RTm4AFxcLgaGsouq5qQ9av5hGqwCvxcQDT,4iiqY1gWvH7yNax1WakaJKoZLMnmYsXkA4WXKLKXEhR2SiWzQ285BHEbJN48voH9Twk4zfcW2ZToA6ygnanzJHte,0.02,4,2025-07-22 19:43:23.971966+00,completed
1c58f228-a0a4-4454-baf4-28d346d3daf2,686157113202049107,DL5P6ewsGQhjAeoGMcS3u7Nhzy369hZYmJX5m6R7DYey,4njgBManE37H5cqmPqKbjBfWQUUZvHrFJdDdqUCQQ4TwpmjP14T4ctaKrAGA9mH5NwUisAfcja2Vn7oTA72GQm47,0.02,3.6,2025-08-03 09:08:52.10434+00,completed
1cba707b-9055-47eb-b07d-975175b3defb,370514840709758989,8pj1LJjSK2qTVDVnbWhpLZ2fFdFwLzoqCvjjsPq3usz6,4Q9WcWJjPQX5c4hQo3Z6mSmMpebU9eRHRp4b9LgMeGFgiS3T2xeQTdgm6Y1NN6ZJwCFZKigDokBCoKvxLfqHNSQC,0.02,4.01,2025-07-22 15:11:33.773265+00,completed
1cee7d80-5674-411b-9d46-635e838da04e,1129356891454197850,D4FpNs4jQ387cduZvtNdPvWGPJDG4PZLtTJjmi8CKKzC,3mZFX2JxuwpWt7jA5JXpnfv2Dznvdi8R8pbLf1JzJ7gfDHPYHEkSzWVd3rG6NuzcDG3NB3nWcHq8uo9rssSMjAkV,0.02,3.88,2025-07-21 19:40:47.790707+00,pending
